Rank,learning_rate,batch_size,hidden_sizes,dropout,num_epochs,optimizer,Train_Acc,Val_Acc,Test_Acc,Epochs,Params
132,0.005,32,"[256, 128]",0.1,15,sgd,0.6143179255918827,0.5291125920729569,0.5300718919866737,15,730278
133,0.0001,64,"[256, 128]",0.3,30,adam,0.46820744081172494,0.5247281655559453,0.5149921094160967,30,730278
134,0.005,128,"[256, 128]",0.2,30,adam,0.5039083051484404,0.5245527884952648,0.5216552691565842,30,730278
135,0.0001,32,"[512, 256, 128]",0.3,30,adam,0.5134160090191657,0.5233251490705015,0.516044187269858,30,1554086
136,0.0005,32,"[256, 128]",0.2,15,adam,0.522923712889891,0.5229743949491407,0.5195511134490619,15,730278
137,0.0001,32,"[1024, 512, 256, 128]",0.1,20,adam,0.526456219466366,0.5226236408277797,0.5209538839207435,20,3463846
138,0.0001,64,"[1024, 512, 256, 128]",0.2,30,adam,0.5360390830514844,0.5226236408277797,0.5116605295458531,30,3463846
139,0.0001,32,"[256, 128]",0.3,30,adam,0.49597895527996994,0.5219221325850579,0.5188497282132211,30,730278
140,0.0005,128,"[512, 256, 128]",0.2,20,adam,0.5113115370161594,0.5205191160996142,0.5181483429773803,20,1554086
141,0.001,64,"[1024, 512, 256, 128]",0.1,20,adam,0.49684329199549043,0.5178884601894073,0.5165702261967385,20,3463846
142,0.0001,128,"[1024, 512, 256, 128]",0.1,30,adam,0.5240886884629838,0.5168361978253244,0.5081536033666492,30,3463846
143,0.0001,32,"[512, 256, 128]",0.2,20,adam,0.5016535137166479,0.516310066643283,0.5162195335788181,20,1554086
144,0.005,32,"[512, 256, 128]",0.2,30,sgd,0.6087185268695979,0.5159593125219222,0.5218306154655444,30,1554086
145,0.005,128,"[256, 128]",0.1,20,sgd,0.5544532130777903,0.5157839354612417,0.5088549886024899,20,730278
146,0.001,128,"[256, 128]",0.3,20,adam,0.44919203307027433,0.5152578042792003,0.5134139926354551,20,730278
147,0.0005,64,"[512, 256, 128]",0.2,15,adam,0.4823750469748215,0.5126271483689934,0.5039452919516044,15,1554086
148,0.001,128,"[256, 128]",0.3,15,adam,0.4496054114994363,0.5112241318835496,0.5065754865860074,15,730278
149,0.001,64,"[256, 128]",0.3,30,adam,0.46429913566328446,0.5092949842160646,0.5162195335788181,30,730278
150,0.001,32,"[256, 128]",0.2,20,sgd,0.4658023299511462,0.5082427218519817,0.496405400666316,20,730278
151,0.001,32,"[256, 128]",0.1,15,sgd,0.4625704622322435,0.5075412136092599,0.4925477818691917,15,730278
152,0.0001,128,"[256, 128]",0.1,20,adam,0.4491544532130778,0.5070150824272185,0.5044713308784851,20,730278
153,0.0005,32,"[256, 128]",0.1,30,sgd,0.48004509582863586,0.5063135741844966,0.496405400666316,30,730278
154,0.0005,128,"[256, 128]",0.3,15,adam,0.44911687335588124,0.5043844265170115,0.48676135367350515,15,730278
155,0.005,128,"[256, 128]",0.1,15,sgd,0.488087185268696,0.5035075412136093,0.4897422409258285,15,730278
156,0.0005,64,"[256, 128]",0.3,20,adam,0.4508831266441187,0.5031567870922483,0.49307382079607226,20,730278
157,0.0005,32,"[1024, 512, 256, 128]",0.1,15,adam,0.4958662157083803,0.5029814100315678,0.4986849026827985,15,3463846
158,0.005,32,"[256, 128]",0.3,20,sgd,0.3927846674182638,0.502630655910207,0.4939505523408732,20,730278
159,0.001,32,"[256, 128]",0.2,15,adam,0.49098083427282974,0.5024552788495265,0.5021918288620024,15,730278
160,0.001,64,"[1024, 512, 256, 128]",0.1,15,adam,0.47504697482149566,0.5012276394247632,0.4911450113975101,15,3463846
161,0.0001,32,"[1024, 512, 256, 128]",0.3,30,adam,0.5133408493047726,0.5012276394247632,0.4985095563738383,30,3463846
162,0.001,32,"[256, 128]",0.3,30,adam,0.4851183765501691,0.5,0.5037699456426442,25,730278
163,0.0001,128,"[256, 128]",0.3,30,adam,0.4399098083427283,0.49982462293931956,0.4993862879186393,30,730278
