Rank,learning_rate,batch_size,kernel_size,padding,num_epochs,optimizer,Train_Acc,Val_Acc,Test_Acc,Epochs,Params
122,0.005,64,5,0,15,sgd,0.9481773769259677,0.9556296036478429,0.9551113449061898,15,1310822
123,0.001,128,5,0,30,adam,0.8641112363773018,0.9554542265871624,0.9561634227599509,24,1310822
124,0.0005,32,3,0,30,adam,0.8084178880120255,0.9554542265871624,0.953533228125548,22,1310822
125,0.0005,64,5,1,30,adam,0.8195791055993987,0.9552788495264819,0.9528318428897071,26,1310822
126,0.0005,64,5,1,30,sgd,0.9264186396091695,0.9551034724658015,0.9573908469226723,30,1310822
127,0.0001,128,5,1,30,adam,0.929086809470124,0.954928095405121,0.9575661932316325,30,1310822
128,0.0005,32,5,1,30,sgd,0.952010522360015,0.9547527183444405,0.9600210415570752,24,1310822
129,0.0005,128,5,1,30,adam,0.911499436302142,0.9542265871623992,0.9531825355076275,24,1310822
130,0.0001,64,3,1,15,adam,0.8745584366779406,0.9542265871623992,0.9523058039628266,15,1310822
131,0.0001,128,5,0,20,adam,0.8886133032694475,0.9542265871623992,0.9519551113449062,20,1310822
132,0.005,32,3,0,15,sgd,0.949868470499812,0.9540512101017187,0.9579168858495528,13,1310822
133,0.0005,32,3,0,30,sgd,0.9452837279218339,0.9540512101017187,0.9512537261090654,22,1310822
134,0.0005,128,3,0,15,adam,0.8958286358511838,0.9540512101017187,0.9554620375241101,15,1310822
135,0.0005,32,3,0,15,adam,0.7449079293498685,0.9538758330410382,0.9540592670524285,15,1310822
136,0.0001,32,3,0,15,adam,0.9108229988726043,0.9535250789196773,0.9549359985972296,15,1310822
137,0.0001,128,3,1,30,adam,0.9369034197670049,0.9535250789196773,0.9584429247764334,29,1310822
138,0.0005,32,5,1,15,adam,0.8995114618564449,0.9533497018589968,0.950903033491145,15,1310822
139,0.0005,64,3,1,30,adam,0.8701991732431417,0.9531743247983164,0.9473961073119411,16,1310822
140,0.0005,64,3,0,30,sgd,0.9271702367531003,0.952648193616275,0.9512537261090654,30,1310822
141,0.0005,128,5,1,15,adam,0.930402104472003,0.9524728165555946,0.9512537261090654,15,1310822
